iter	Passed	Remaining
0	53	53872
1	54	27180
2	54	18257
3	55	13789
4	55	11116
5	56	9319
6	56	8039
7	57	7113
8	57	6380
9	58	5792
10	58	5297
11	59	4882
12	59	4532
13	60	4231
14	60	3968
15	60	3738
16	61	3538
17	61	3361
18	62	3203
19	62	3070
20	63	2948
21	63	2831
22	64	2726
23	64	2625
24	65	2538
25	65	2452
26	65	2372
27	66	2299
28	66	2230
29	67	2167
30	67	2113
31	68	2060
32	68	2010
33	69	1966
34	69	1922
35	70	1878
36	70	1836
37	70	1797
38	71	1759
39	71	1724
40	72	1690
41	72	1658
42	73	1628
43	73	1598
44	74	1570
45	74	1542
46	74	1515
47	75	1490
48	75	1469
49	76	1446
50	76	1426
51	77	1405
52	77	1388
53	78	1369
54	78	1350
55	78	1331
56	79	1313
57	79	1295
58	80	1278
59	80	1262
60	80	1246
61	81	1230
62	81	1216
63	82	1202
64	82	1189
65	83	1176
66	83	1163
67	83	1150
68	84	1138
69	84	1126
70	85	1117
71	85	1107
72	86	1098
73	86	1087
74	87	1077
75	87	1066
76	88	1056
77	88	1046
78	88	1036
79	89	1028
80	89	1019
81	90	1010
82	90	1000
83	91	993
84	91	985
85	92	977
86	92	970
87	92	962
88	93	954
89	93	947
90	94	939
91	94	932
92	94	925
93	95	919
94	95	912
95	96	907
96	96	900
97	97	893
98	97	887
99	97	881
100	98	875
101	98	869
102	99	863
103	99	857
104	99	851
105	100	847
106	101	843
107	101	838
108	101	833
109	102	828
110	102	823
111	103	817
112	103	812
113	103	807
114	104	803
115	104	800
116	105	795
117	105	791
118	106	787
119	106	783
120	107	778
121	107	773
122	107	769
123	108	765
124	108	760
125	109	756
126	109	752
127	110	750
128	110	747
129	111	743
130	111	741
131	112	738
132	112	734
133	113	730
134	113	727
135	113	723
136	114	720
137	114	716
138	115	713
139	115	710
140	116	707
141	116	703
142	116	699
143	117	696
144	117	693
145	118	691
146	118	689
147	119	686
148	119	684
149	120	680
150	120	678
151	121	675
152	121	672
153	121	669
154	122	666
155	122	664
156	123	661
157	123	659
158	124	656
159	124	654
160	124	650
161	125	648
162	125	646
163	126	644
164	126	641
165	127	639
166	127	637
167	128	634
168	128	632
169	128	629
170	129	627
171	129	625
172	130	623
173	130	621
174	131	619
175	131	616
176	132	614
177	132	612
178	133	610
179	133	608
180	134	606
181	134	604
182	134	602
183	135	600
184	135	597
185	136	595
186	136	593
187	136	591
188	137	589
189	137	587
190	138	585
191	138	583
192	139	582
193	139	581
194	140	579
195	141	578
196	141	576
197	141	574
198	142	572
199	142	570
200	143	568
201	143	566
202	143	565
203	144	563
204	144	561
205	145	559
206	145	558
207	146	557
208	146	555
209	147	554
210	147	552
211	148	551
212	148	549
213	149	547
214	149	545
215	149	543
216	150	542
217	150	540
218	151	539
219	151	537
220	152	535
221	152	534
222	152	532
223	153	531
224	153	530
225	154	529
226	155	527
227	155	526
228	156	525
229	156	524
230	157	523
231	157	522
232	158	521
233	158	519
234	159	518
235	160	518
